index_code,con_code,trade_date,weight
399300.SZ,601318.SH,20200123,6.708
399300.SZ,600519.SH,20200123,3.924
399300.SZ,600036.SH,20200123,2.816
399300.SZ,000651.SZ,20200123,2.282
399300.SZ,600276.SH,20200123,2.021
399300.SZ,601166.SH,20200123,2.005
399300.SZ,000333.SZ,20200123,1.985
399300.SZ,000858.SZ,20200123,1.816
399300.SZ,600030.SH,20200123,1.395
399300.SZ,600887.SH,20200123,1.386
399300.SZ,000002.SZ,20200123,1.254
399300.SZ,600016.SH,20200123,1.119
399300.SZ,600900.SH,20200123,1.119
399300.SZ,000001.SZ,20200123,1.118
399300.SZ,601328.SH,20200123,1.115
399300.SZ,002475.SZ,20200123,1.075
399300.SZ,601288.SH,20200123,1.0
399300.SZ,002415.SZ,20200123,0.998
399300.SZ,600000.SH,20200123,0.988
399300.SZ,601398.SH,20200123,0.915
399300.SZ,300498.SZ,20200123,0.901
399300.SZ,600837.SH,20200123,0.873
399300.SZ,601668.SH,20200123,0.852
399300.SZ,601601.SH,20200123,0.838
399300.SZ,000725.SZ,20200123,0.83
399300.SZ,600048.SH,20200123,0.814
399300.SZ,600585.SH,20200123,0.712
399300.SZ,600031.SH,20200123,0.701
399300.SZ,000063.SZ,20200123,0.691
399300.SZ,603288.SH,20200123,0.644
399300.SZ,601688.SH,20200123,0.62
399300.SZ,600309.SH,20200123,0.604
399300.SZ,300059.SZ,20200123,0.601
399300.SZ,601169.SH,20200123,0.595
399300.SZ,601888.SH,20200123,0.594
399300.SZ,600104.SH,20200123,0.588
399300.SZ,601211.SH,20200123,0.588
399300.SZ,601012.SH,20200123,0.569
399300.SZ,601988.SH,20200123,0.564
399300.SZ,002142.SZ,20200123,0.562
399300.SZ,002714.SZ,20200123,0.524
399300.SZ,603259.SH,20200123,0.521
399300.SZ,000661.SZ,20200123,0.517
399300.SZ,600690.SH,20200123,0.508
399300.SZ,000100.SZ,20200123,0.508
399300.SZ,600009.SH,20200123,0.493
399300.SZ,600028.SH,20200123,0.49
399300.SZ,601766.SH,20200123,0.488
399300.SZ,000338.SZ,20200123,0.481
399300.SZ,002304.SZ,20200123,0.479
399300.SZ,600919.SH,20200123,0.476
399300.SZ,601818.SH,20200123,0.475
399300.SZ,601229.SH,20200123,0.469
399300.SZ,000568.SZ,20200123,0.449
399300.SZ,002027.SZ,20200123,0.448
399300.SZ,601899.SH,20200123,0.437
399300.SZ,001979.SZ,20200123,0.426
399300.SZ,600570.SH,20200123,0.423
399300.SZ,601088.SH,20200123,0.423
399300.SZ,600703.SH,20200123,0.409
399300.SZ,601857.SH,20200123,0.406
399300.SZ,603986.SH,20200123,0.404
399300.SZ,002594.SZ,20200123,0.402
399300.SZ,002230.SZ,20200123,0.402
399300.SZ,601628.SH,20200123,0.399
399300.SZ,600999.SH,20200123,0.398
399300.SZ,002241.SZ,20200123,0.398
399300.SZ,600050.SH,20200123,0.39
399300.SZ,300015.SZ,20200123,0.368
399300.SZ,601009.SH,20200123,0.364
399300.SZ,600019.SH,20200123,0.359
399300.SZ,601939.SH,20200123,0.347
399300.SZ,603160.SH,20200123,0.343
399300.SZ,601989.SH,20200123,0.342
399300.SZ,601006.SH,20200123,0.34
399300.SZ,600015.SH,20200123,0.338
399300.SZ,601390.SH,20200123,0.336
399300.SZ,000538.SZ,20200123,0.328
399300.SZ,000776.SZ,20200123,0.325
399300.SZ,000166.SZ,20200123,0.322
399300.SZ,601186.SH,20200123,0.321
399300.SZ,600741.SH,20200123,0.312
399300.SZ,600406.SH,20200123,0.311
399300.SZ,600588.SH,20200123,0.302
399300.SZ,601336.SH,20200123,0.297
399300.SZ,600436.SH,20200123,0.288
399300.SZ,002044.SZ,20200123,0.286
399300.SZ,300347.SZ,20200123,0.285
399300.SZ,000876.SZ,20200123,0.284
399300.SZ,002024.SZ,20200123,0.276
399300.SZ,002008.SZ,20200123,0.275
399300.SZ,600958.SH,20200123,0.273
399300.SZ,002236.SZ,20200123,0.269
399300.SZ,600346.SH,20200123,0.267
399300.SZ,601138.SH,20200123,0.265
399300.SZ,600352.SH,20200123,0.258
399300.SZ,002352.SZ,20200123,0.257
399300.SZ,300142.SZ,20200123,0.257
399300.SZ,600660.SH,20200123,0.256
399300.SZ,002555.SZ,20200123,0.254
399300.SZ,300136.SZ,20200123,0.253
399300.SZ,300003.SZ,20200123,0.253
399300.SZ,002456.SZ,20200123,0.252
399300.SZ,600547.SH,20200123,0.25
399300.SZ,601225.SH,20200123,0.249
399300.SZ,002460.SZ,20200123,0.246
399300.SZ,601901.SH,20200123,0.245
399300.SZ,000157.SZ,20200123,0.242
399300.SZ,002202.SZ,20200123,0.241
