year,factor,ic_mean,rank_ic_mean,ic_win_rate,sample_periods
2020,factor_momentum,0.033245573227693635,0.03339336954069313,0.5185185185185185,223
2020,factor_reversal_5d,-0.01400114534902876,-0.01605850148801254,0.45267489711934156,238
2020,factor_roe,,,0.0,0
2020,factor_size,-0.10421313198465311,-0.11888235342925596,0.32098765432098764,243
2020,factor_turnover,0.047392150810212495,0.023261064138630817,0.5967078189300411,224
2020,factor_volatility,-0.01072376561751088,0.011434695383150938,0.4609053497942387,223
2021,factor_momentum,-0.0023935311876669323,-0.019789424428871334,0.4773662551440329,243
2021,factor_reversal_5d,-0.01855205748192832,-0.008648796572634477,0.46502057613168724,243
2021,factor_roe,,,0.0,0
2021,factor_size,0.12511276417355166,0.11251005677900582,0.7242798353909465,243
2021,factor_turnover,-0.0015378672407331366,0.058636879078110604,0.49382716049382713,243
2021,factor_volatility,0.017976254228418476,0.057253802393841015,0.5390946502057613,243
2022,factor_momentum,-0.06404491075096848,-0.06639554420269936,0.4132231404958678,242
2022,factor_reversal_5d,-0.005135987406405514,-0.0032700104962963437,0.49586776859504134,242
2022,factor_roe,,,0.0,0
2022,factor_size,-0.003083623393032708,-0.00837429827370262,0.49173553719008267,242
2022,factor_turnover,0.10662189011368169,0.12563271924570948,0.7107438016528925,242
2022,factor_volatility,0.03550617873506148,0.03826281939935379,0.5826446280991735,242
2023,factor_momentum,-0.019141342153179818,-0.043987384742152184,0.43388429752066116,222
2023,factor_reversal_5d,0.008218634680063782,0.0074230071306171175,0.4793388429752066,222
2023,factor_roe,,,0.0,0
2023,factor_size,0.03548427215742571,0.009722417496684335,0.48760330578512395,222
2023,factor_turnover,-0.05485037823743086,0.059590770581965685,0.4297520661157025,222
2023,factor_volatility,-0.03940088639073027,0.06593337885175955,0.45867768595041325,222
