trade_date,group,ret_20d_fwd,factor
2020-01-09,1,-0.07314694861637008,factor_reversal_5d
2020-01-09,2,0.02885742509716458,factor_reversal_5d
2020-01-09,3,-0.04874099179407915,factor_reversal_5d
2020-01-09,4,-0.11020391083077974,factor_reversal_5d
2020-01-09,5,-0.07213103053872938,factor_reversal_5d
2020-01-09,6,-0.013285165639390062,factor_reversal_5d
2020-01-09,7,-0.0971026677519964,factor_reversal_5d
2020-01-09,8,-0.10815156056987049,factor_reversal_5d
2020-01-09,9,-0.061728394244798125,factor_reversal_5d
2020-01-09,10,0.005889434499612441,factor_reversal_5d
2020-01-10,1,-0.04717226394728787,factor_reversal_5d
2020-01-10,2,-0.047024145160073735,factor_reversal_5d
2020-01-10,3,-0.07290662991647198,factor_reversal_5d
2020-01-10,4,0.014901619093958901,factor_reversal_5d
2020-01-10,5,0.06994452988741576,factor_reversal_5d
2020-01-10,6,-0.04297105939882342,factor_reversal_5d
2020-01-10,7,-0.08505443077180215,factor_reversal_5d
2020-01-10,8,-0.06121939194539404,factor_reversal_5d
2020-01-10,9,-0.070654130881488,factor_reversal_5d
2020-01-10,10,0.013435266371448701,factor_reversal_5d
2020-01-13,1,-0.05427481726931952,factor_reversal_5d
2020-01-13,2,0.016071600693820704,factor_reversal_5d
2020-01-13,3,-0.06627718923243275,factor_reversal_5d
2020-01-13,4,0.06057121065850204,factor_reversal_5d
2020-01-13,5,-0.0704640871550771,factor_reversal_5d
2020-01-13,6,-0.04637875966961822,factor_reversal_5d
2020-01-13,7,-0.05621854414336453,factor_reversal_5d
2020-01-13,8,-0.06851767709565779,factor_reversal_5d
2020-01-13,9,-0.07724168855129974,factor_reversal_5d
2020-01-13,10,-0.07961566963982818,factor_reversal_5d
2020-01-14,1,0.02548269764810492,factor_reversal_5d
2020-01-14,2,0.053069605901264985,factor_reversal_5d
2020-01-14,3,-0.12003922957175137,factor_reversal_5d
2020-01-14,4,-0.04831716259556216,factor_reversal_5d
2020-01-14,5,-0.012675060756057621,factor_reversal_5d
2020-01-14,6,-0.07280783305932846,factor_reversal_5d
2020-01-14,7,-0.09621813452310085,factor_reversal_5d
2020-01-14,8,-0.08412405590771475,factor_reversal_5d
2020-01-14,9,-0.04558812658234498,factor_reversal_5d
2020-01-14,10,-0.01913306037294412,factor_reversal_5d
2020-01-15,1,-0.009560569326763857,factor_reversal_5d
2020-01-15,2,0.03281762228813964,factor_reversal_5d
2020-01-15,3,-0.01883037761648998,factor_reversal_5d
2020-01-15,4,0.016370359185924378,factor_reversal_5d
2020-01-15,5,-0.005338962988017226,factor_reversal_5d
2020-01-15,6,-0.05159981053383559,factor_reversal_5d
2020-01-15,7,-0.009841627202956253,factor_reversal_5d
2020-01-15,8,-0.03325973890108238,factor_reversal_5d
2020-01-15,9,-0.017625187726256174,factor_reversal_5d
2020-01-15,10,-0.01262138656716134,factor_reversal_5d
2020-01-16,1,0.044606143686474274,factor_reversal_5d
2020-01-16,2,0.036869073247547256,factor_reversal_5d
2020-01-16,3,0.04624987901579175,factor_reversal_5d
2020-01-16,4,-0.06357826514218039,factor_reversal_5d
2020-01-16,5,-0.03640657597037985,factor_reversal_5d
2020-01-16,6,0.004226615064724337,factor_reversal_5d
2020-01-16,7,0.0533854402491466,factor_reversal_5d
2020-01-16,8,-0.07309746026327496,factor_reversal_5d
2020-01-16,9,-0.02894753447238045,factor_reversal_5d
2020-01-16,10,-0.021101337696493593,factor_reversal_5d
2020-01-17,1,0.18502854121319012,factor_reversal_5d
2020-01-17,2,-0.02564630873096808,factor_reversal_5d
2020-01-17,3,-0.025706704110649424,factor_reversal_5d
2020-01-17,4,-0.02218076761031026,factor_reversal_5d
2020-01-17,5,-0.07066256844381108,factor_reversal_5d
2020-01-17,6,-0.01694792671993692,factor_reversal_5d
2020-01-17,7,-0.046549839940431596,factor_reversal_5d
2020-01-17,8,0.04827818509279794,factor_reversal_5d
2020-01-17,9,-0.001518567095409951,factor_reversal_5d
2020-01-17,10,-0.07002127464021718,factor_reversal_5d
2020-01-20,1,0.1595720633883642,factor_reversal_5d
2020-01-20,2,0.050260715863861015,factor_reversal_5d
2020-01-20,3,-0.007817854517898924,factor_reversal_5d
2020-01-20,4,-0.005820949319519803,factor_reversal_5d
2020-01-20,5,-0.0620356137184679,factor_reversal_5d
2020-01-20,6,-0.05755330025588244,factor_reversal_5d
2020-01-20,7,-0.09101572137022965,factor_reversal_5d
2020-01-20,8,-0.029549042342782363,factor_reversal_5d
2020-01-20,9,-0.012213589689483153,factor_reversal_5d
2020-01-20,10,-0.014048384036572043,factor_reversal_5d
2020-01-21,1,0.10146210711080783,factor_reversal_5d
2020-01-21,2,-0.04093622788097464,factor_reversal_5d
2020-01-21,3,0.0083005967137144,factor_reversal_5d
2020-01-21,4,0.06874727740682106,factor_reversal_5d
2020-01-21,5,-0.014893399365422676,factor_reversal_5d
2020-01-21,6,-0.007263892441381858,factor_reversal_5d
2020-01-21,7,-0.056314847364300605,factor_reversal_5d
2020-01-21,8,-0.060557741781561,factor_reversal_5d
2020-01-21,9,0.07340572531263241,factor_reversal_5d
2020-01-21,10,-0.012853524147678938,factor_reversal_5d
2020-01-22,1,0.06770474919763877,factor_reversal_5d
2020-01-22,2,0.10025749289551475,factor_reversal_5d
2020-01-22,3,0.008389632025671726,factor_reversal_5d
2020-01-22,4,-0.06319689253534848,factor_reversal_5d
2020-01-22,5,-0.002397537054191227,factor_reversal_5d
2020-01-22,6,0.00414563783224164,factor_reversal_5d
2020-01-22,7,-0.06506439684898807,factor_reversal_5d
2020-01-22,8,-0.023594543028889102,factor_reversal_5d
2020-01-22,9,0.027495539808551378,factor_reversal_5d
2020-01-22,10,-0.014018302749743177,factor_reversal_5d
2020-01-23,1,0.10368561291744163,factor_reversal_5d
2020-01-23,2,-0.06746926698453763,factor_reversal_5d
2020-01-23,3,0.08167146833828212,factor_reversal_5d
2020-01-23,4,-0.020415008808685,factor_reversal_5d
2020-01-23,5,-0.050852565749606046,factor_reversal_5d
2020-01-23,6,0.016416098014709984,factor_reversal_5d
2020-01-23,7,1.949018744439729e-05,factor_reversal_5d
2020-01-23,8,-0.06111472216637366,factor_reversal_5d
2020-01-23,9,0.06163694447769986,factor_reversal_5d
2020-01-23,10,-0.032226865160909154,factor_reversal_5d
2020-02-03,1,0.26455012022279123,factor_reversal_5d
2020-02-03,2,0.06907182146887689,factor_reversal_5d
2020-02-03,3,0.11655721939720552,factor_reversal_5d
2020-02-03,4,0.06718766203041907,factor_reversal_5d
2020-02-03,5,0.08830624814722637,factor_reversal_5d
2020-02-03,6,0.2399145688583598,factor_reversal_5d
2020-02-03,7,0.10649671407443248,factor_reversal_5d
2020-02-03,8,0.21326303098852292,factor_reversal_5d
2020-02-03,9,0.1702044106878951,factor_reversal_5d
2020-02-03,10,0.11421337894638732,factor_reversal_5d
