factor,window,rank_ic_mean
factor_momentum,1,-0.005764406086262231
factor_volatility,1,0.02676225154140542
factor_roe,1,
factor_size,1,-0.0031525975916978
factor_turnover,1,0.03182191734796553
factor_reversal_5d,1,0.011209108694751294
factor_momentum,5,-0.004068253392407411
factor_volatility,5,0.03762521192209331
factor_roe,5,
factor_size,5,-0.00753047020471711
factor_turnover,5,0.04932792808011098
factor_reversal_5d,5,0.011932147499855186
factor_momentum,10,-0.0035044165427333862
factor_volatility,10,0.03640936225746695
factor_roe,10,
factor_size,10,-0.0027680158789777226
factor_turnover,10,0.054521277327939766
factor_reversal_5d,10,0.00927272666821637
factor_momentum,20,-0.02494089229941096
factor_volatility,20,0.04339722951815082
factor_roe,20,
factor_size,20,-0.0014912332462977908
factor_turnover,20,0.0677674641350078
factor_reversal_5d,20,-0.005361921564448548
factor_momentum,60,-0.037095884089526715
factor_volatility,60,0.06159785631810409
factor_roe,60,
factor_size,60,0.0028805664259448967
factor_turnover,60,0.07687009174521223
factor_reversal_5d,60,0.026211182312945166
