trade_date,factor,ic,rank_ic
2020-01-02,factor_momentum,,
2020-01-02,factor_volatility,,
2020-01-02,factor_roe,,
2020-01-02,factor_size,-0.16182711313947662,-0.2362627197039778
2020-01-02,factor_turnover,,
2020-01-02,factor_reversal_5d,,
2020-01-03,factor_momentum,,
2020-01-03,factor_volatility,,
2020-01-03,factor_roe,,
2020-01-03,factor_size,-0.11394329042920011,-0.17557816836262718
2020-01-03,factor_turnover,,
2020-01-03,factor_reversal_5d,,
2020-01-06,factor_momentum,,
2020-01-06,factor_volatility,,
2020-01-06,factor_roe,,
2020-01-06,factor_size,-0.22320600253406445,-0.3723095898859081
2020-01-06,factor_turnover,,
2020-01-06,factor_reversal_5d,,
2020-01-07,factor_momentum,,
2020-01-07,factor_volatility,,
2020-01-07,factor_roe,,
2020-01-07,factor_size,-0.18030351193706745,-0.3309898242368177
2020-01-07,factor_turnover,,
2020-01-07,factor_reversal_5d,,
2020-01-08,factor_momentum,,
2020-01-08,factor_volatility,,
2020-01-08,factor_roe,,
2020-01-08,factor_size,-0.13783738955227326,-0.31754548257785997
2020-01-08,factor_turnover,,
2020-01-08,factor_reversal_5d,,
2020-01-09,factor_momentum,,
2020-01-09,factor_volatility,,
2020-01-09,factor_roe,,
2020-01-09,factor_size,-0.07015265368110467,-0.26179463459759483
2020-01-09,factor_turnover,,
2020-01-09,factor_reversal_5d,-0.018186901562836477,-0.05901942645698426
2020-01-10,factor_momentum,,
2020-01-10,factor_volatility,,
2020-01-10,factor_roe,,
2020-01-10,factor_size,-0.041247047249347114,-0.11884057971014492
2020-01-10,factor_turnover,,
2020-01-10,factor_reversal_5d,0.11744254776803807,-0.0059821153253160645
2020-01-13,factor_momentum,,
2020-01-13,factor_volatility,,
2020-01-13,factor_roe,,
2020-01-13,factor_size,-0.029075336979465984,-0.07406722170829479
2020-01-13,factor_turnover,,
2020-01-13,factor_reversal_5d,-0.11655652346623362,-0.010792808910740595
2020-01-14,factor_momentum,,
2020-01-14,factor_volatility,,
2020-01-14,factor_roe,,
2020-01-14,factor_size,-0.07566641272836061,-0.13512180080172678
2020-01-14,factor_turnover,,
2020-01-14,factor_reversal_5d,-0.20418202716402542,-0.0009867711004105688
2020-01-15,factor_momentum,,
2020-01-15,factor_volatility,,
2020-01-15,factor_roe,,
2020-01-15,factor_size,-0.102668451770446,-0.15386987357385137
2020-01-15,factor_turnover,,
2020-01-15,factor_reversal_5d,-0.07757201370722723,0.0734505087881591
2020-01-16,factor_momentum,,
2020-01-16,factor_volatility,,
2020-01-16,factor_roe,,
2020-01-16,factor_size,-0.08566210207099649,-0.14424915201973482
2020-01-16,factor_turnover,,
2020-01-16,factor_reversal_5d,-0.1596090693289799,-0.042738205365402404
2020-01-17,factor_momentum,,
2020-01-17,factor_volatility,,
2020-01-17,factor_roe,,
2020-01-17,factor_size,-0.08426456800443276,-0.08442799876657416
2020-01-17,factor_turnover,,
2020-01-17,factor_reversal_5d,-0.32694118826575436,-0.08146777674992291
2020-01-20,factor_momentum,,
2020-01-20,factor_volatility,,
2020-01-20,factor_roe,,
2020-01-20,factor_size,-0.05516328314784674,-0.04520505704594511
2020-01-20,factor_turnover,,
2020-01-20,factor_reversal_5d,-0.3553309072487383,-0.15843354918285538
2020-01-21,factor_momentum,,
2020-01-21,factor_volatility,,
2020-01-21,factor_roe,,
2020-01-21,factor_size,-0.023289526779505285,0.04619179771816219
2020-01-21,factor_turnover,,
2020-01-21,factor_reversal_5d,-0.17938882515087667,-0.10206598828245451
2020-01-22,factor_momentum,,
2020-01-22,factor_volatility,,
2020-01-22,factor_roe,,
2020-01-22,factor_size,-0.032595195699447715,-0.04693185322232501
2020-01-22,factor_turnover,,
2020-01-22,factor_reversal_5d,-0.2879701187954749,-0.18236201048411962
2020-01-23,factor_momentum,,
2020-01-23,factor_volatility,,
2020-01-23,factor_roe,,
2020-01-23,factor_size,-0.07607606469444111,-0.08733193553059718
2020-01-23,factor_turnover,,
2020-01-23,factor_reversal_5d,-0.18215624473472194,-0.14819611470860314
2020-02-03,factor_momentum,,
2020-02-03,factor_volatility,,
2020-02-03,factor_roe,,
2020-02-03,factor_size,-0.058321078378512144,-0.016097199981275328
2020-02-03,factor_turnover,,
2020-02-03,factor_reversal_5d,-0.02684483904819926,0.08048103607770582
2020-02-04,factor_momentum,,
2020-02-04,factor_volatility,,
2020-02-04,factor_roe,,
2020-02-04,factor_size,0.09463572478096209,0.099235229003341
2020-02-04,factor_turnover,,
2020-02-04,factor_reversal_5d,0.051712018516493624,0.08874498920752388
2020-02-05,factor_momentum,,
2020-02-05,factor_volatility,,
2020-02-05,factor_roe,,
2020-02-05,factor_size,0.11442682042394847,0.08628345890346431
2020-02-05,factor_turnover,,
2020-02-05,factor_reversal_5d,-0.03474502665258504,0.012765957446808512
2020-02-06,factor_momentum,,
2020-02-06,factor_volatility,,
2020-02-06,factor_roe,,
2020-02-06,factor_size,0.11277104870726148,0.1161958803246081
2020-02-06,factor_turnover,-0.08459353602593767,-0.08294788775824853
2020-02-06,factor_reversal_5d,0.049502903878165506,0.15263644773357998
2020-02-07,factor_momentum,0.06568668727476867,-0.04779525131051495
2020-02-07,factor_volatility,-0.3421198428869538,-0.18186864014801107
2020-02-07,factor_roe,,
2020-02-07,factor_size,0.10774665114887977,0.11422227726176977
2020-02-07,factor_turnover,-0.12191751721231484,-0.13980881899475794
2020-02-07,factor_reversal_5d,-0.15153346720989028,0.0005550416281221092
2020-02-10,factor_momentum,0.14785271920042609,0.11649707061362935
2020-02-10,factor_volatility,-0.27865480650738206,-0.12599444958371878
2020-02-10,factor_roe,,
2020-02-10,factor_size,0.04480166611119739,0.08973726426343144
2020-02-10,factor_turnover,-0.04365553706744674,-0.03089731729879741
2020-02-10,factor_reversal_5d,-0.379158890076591,-0.13561517113783533
2020-02-11,factor_momentum,0.24066680181526595,0.12118408880666051
2020-02-11,factor_volatility,-0.32261312424518446,-0.15966697502312674
2020-02-11,factor_roe,,
2020-02-11,factor_size,0.058688755914156565,0.09201924280483828
2020-02-11,factor_turnover,-0.1463600250834799,-0.0963922294172063
2020-02-11,factor_reversal_5d,-0.44907476904451044,-0.3612087573234659
2020-02-12,factor_momentum,0.13994912422126604,0.13771199506629664
2020-02-12,factor_volatility,-0.27002150137716985,-0.15251310514955288
2020-02-12,factor_roe,,
2020-02-12,factor_size,0.06931294783482818,0.1382755645901122
2020-02-12,factor_turnover,-0.06767582433372099,-0.02608695652173913
2020-02-12,factor_reversal_5d,-0.43753515837702023,-0.44125809435707675
2020-02-13,factor_momentum,0.04884162670863442,0.055384235845565566
2020-02-13,factor_volatility,-0.09975873092233471,0.042122791348776153
2020-02-13,factor_roe,,
2020-02-13,factor_size,0.10426994988685688,0.2319055109500049
2020-02-13,factor_turnover,0.04324098968223522,0.17866724236808862
2020-02-13,factor_reversal_5d,-0.10043291471783561,-0.2041382713974364
2020-02-14,factor_momentum,0.13518195707185843,0.21930987706624888
2020-02-14,factor_volatility,-0.19009648871803955,-0.026210299105766267
2020-02-14,factor_roe,,
2020-02-14,factor_size,0.05292306055690163,0.13821388949439853
2020-02-14,factor_turnover,-0.036177048502626055,0.07986432315757014
2020-02-14,factor_reversal_5d,-0.06375838888873474,-0.025593586185630592
2020-02-17,factor_momentum,0.10188734835803237,0.0992291088498304
2020-02-17,factor_volatility,-0.09127820917352511,0.13672525439407954
2020-02-17,factor_roe,,
2020-02-17,factor_size,0.0997476759734174,0.1998889852080971
2020-02-17,factor_turnover,0.14784797444142989,0.21048411964230648
2020-02-17,factor_reversal_5d,-0.004115976505684335,-0.09774899784150477
2020-02-18,factor_momentum,0.10716890824321379,0.16102870894824967
2020-02-18,factor_volatility,-0.012673524523941743,0.11723712611779216
2020-02-18,factor_roe,,
2020-02-18,factor_size,0.15430397536683002,0.2513260150333217
2020-02-18,factor_turnover,0.20347435635294414,0.23737280296022198
2020-02-18,factor_reversal_5d,-0.005870277317686964,-0.07790045084867872
2020-02-19,factor_momentum,0.2382165744430917,0.30249768732654947
2020-02-19,factor_volatility,-0.05601563144732619,0.17175454825778602
2020-02-19,factor_roe,,
2020-02-19,factor_size,0.18095431892355898,0.2692117927902943
2020-02-19,factor_turnover,0.1764568090875581,0.27585568917668823
2020-02-19,factor_reversal_5d,-0.09404589737900257,-0.08887107223072685
2020-02-20,factor_momentum,0.23205902506166018,0.3027443724946038
2020-02-20,factor_volatility,-0.015604712615808841,0.07850755473327167
2020-02-20,factor_roe,,
2020-02-20,factor_size,0.19664923556506156,0.2921549283957901
2020-02-20,factor_turnover,0.14346896780461194,0.15436324390995992
2020-02-20,factor_reversal_5d,0.03352205796183724,0.0017884674683934629
2020-02-21,factor_momentum,0.146316644943694,0.19925994449583717
2020-02-21,factor_volatility,0.07627618807277517,0.25291396854764103
2020-02-21,factor_roe,,
2020-02-21,factor_size,0.15543963663595117,0.18033797986685463
2020-02-21,factor_turnover,0.220669772169389,0.2928769657724329
2020-02-21,factor_reversal_5d,0.24433543012135717,0.19913660191181004
2020-02-24,factor_momentum,-0.12646022518842265,-0.019673142152328092
