,composite_equal,composite_equal_size_neutral,composite_equal_industry_size_neutral,composite_equal_neutral,composite_ic_weight,composite_ic_weight_size_neutral,composite_ic_weight_industry_size_neutral,composite_ic_weight_neutral,composite_pca,composite_pca_size_neutral,composite_pca_industry_size_neutral,composite_pca_neutral,composite_rolling_ic_weight,composite_rolling_ic_weight_size_neutral,composite_rolling_ic_weight_industry_size_neutral
composite_equal,1.0,0.853905438779137,0.8270820089132448,0.853905438779137,0.680490175229708,0.7210287159379495,0.6961210681772078,0.7210287159379495,0.4827927218342978,0.5833533965089318,0.564915437161243,0.5833533965089318,0.6460381075889925,0.6169181187851356,0.600966971393099
composite_equal_size_neutral,0.853905438779137,1.0,0.9674562024075835,1.0,0.804214865640736,0.8235409897210438,0.7942306876562689,0.8235409897210438,0.5735398819668435,0.6530715430240231,0.6304963229477677,0.6530715430240231,0.628266006665761,0.7013271953026746,0.682536245159715
composite_equal_industry_size_neutral,0.8270820089132448,0.9674562024075835,1.0,0.9674562024075835,0.7806145335700463,0.7997968538646898,0.8224659827808976,0.7997968538646898,0.556008296636921,0.6337095287273311,0.6550583555328305,0.6337095287273311,0.6144827572139554,0.6849367735945063,0.7058580245401597
composite_equal_neutral,0.853905438779137,1.0,0.9674562024075835,1.0,0.804214865640736,0.8235409897210438,0.7942306876562689,0.8235409897210438,0.5735398819668435,0.6530715430240231,0.6304963229477677,0.6530715430240231,0.628266006665761,0.7013271953026746,0.682536245159715
composite_ic_weight,0.680490175229708,0.804214865640736,0.7806145335700463,0.804214865640736,1.0,0.9699606484767775,0.9363437492403272,0.9699606484767775,0.7600806970265556,0.7680665379137456,0.7426858214811278,0.7680665379137456,0.6082413165062323,0.7117710190035906,0.6942189065426451
composite_ic_weight_size_neutral,0.7210287159379495,0.8235409897210438,0.7997968538646898,0.8235409897210438,0.9699606484767775,1.0,0.9658179653604047,1.0,0.683901999013391,0.7918259116402157,0.7664589616615451,0.7918259116402157,0.6630166907005399,0.7350882804672193,0.7166955782353643
composite_ic_weight_industry_size_neutral,0.6961210681772078,0.7942306876562689,0.8224659827808976,0.7942306876562689,0.9363437492403272,0.9658179653604047,1.0,0.9658179653604047,0.6617184809214065,0.7659151012671647,0.7955044495897512,0.7659151012671647,0.645561832094376,0.7144276919578015,0.7409845510313245
composite_ic_weight_neutral,0.7210287159379495,0.8235409897210438,0.7997968538646898,0.8235409897210438,0.9699606484767775,1.0,0.9658179653604047,1.0,0.683901999013391,0.7918259116402157,0.7664589616615451,0.7918259116402157,0.6630166907005399,0.7350882804672193,0.7166955782353643
composite_pca,0.4827927218342978,0.5735398819668435,0.556008296636921,0.5735398819668435,0.7600806970265556,0.683901999013391,0.6617184809214065,0.683901999013391,1.0,0.8784109177902982,0.8438277295127266,0.8784109177902982,0.3478691528361188,0.45729334786881987,0.44619458341496954
composite_pca_size_neutral,0.5833533965089318,0.6530715430240231,0.6337095287273311,0.6530715430240231,0.7680665379137456,0.7918259116402157,0.7659151012671647,0.7918259116402157,0.8784109177902982,1.0,0.962936187946067,1.0,0.4836674477123682,0.5299248034753911,0.5166451629691591
composite_pca_industry_size_neutral,0.564915437161243,0.6304963229477677,0.6550583555328305,0.6304963229477677,0.7426858214811278,0.7664589616615451,0.7955044495897512,0.7664589616615451,0.8438277295127266,0.962936187946067,1.0,0.962936187946067,0.4710910191060323,0.5143830709958255,0.5372368479642957
composite_pca_neutral,0.5833533965089318,0.6530715430240231,0.6337095287273311,0.6530715430240231,0.7680665379137456,0.7918259116402157,0.7659151012671647,0.7918259116402157,0.8784109177902982,1.0,0.962936187946067,1.0,0.4836674477123682,0.5299248034753911,0.5166451629691591
composite_rolling_ic_weight,0.6460381075889925,0.628266006665761,0.6144827572139554,0.628266006665761,0.6082413165062323,0.6630166907005399,0.645561832094376,0.6630166907005399,0.3478691528361188,0.4836674477123682,0.4710910191060323,0.4836674477123682,1.0,0.8874349411214787,0.8610665205995865
composite_rolling_ic_weight_size_neutral,0.6169181187851356,0.7013271953026746,0.6849367735945063,0.7013271953026746,0.7117710190035906,0.7350882804672193,0.7144276919578015,0.7350882804672193,0.45729334786881987,0.5299248034753911,0.5143830709958255,0.5299248034753911,0.8874349411214787,1.0,0.9696942144575285
composite_rolling_ic_weight_industry_size_neutral,0.600966971393099,0.682536245159715,0.7058580245401597,0.682536245159715,0.6942189065426451,0.7166955782353643,0.7409845510313245,0.7166955782353643,0.44619458341496954,0.5166451629691591,0.5372368479642957,0.5166451629691591,0.8610665205995865,0.9696942144575285,1.0
