ts_code,industry,mapping_source
000001.SZ,Financials,learning_code_prefix
000002.SZ,Financials,learning_code_prefix
000063.SZ,Financials,learning_code_prefix
000069.SZ,Financials,learning_code_prefix
000100.SZ,Financials,learning_code_prefix
000157.SZ,Financials,learning_code_prefix
000166.SZ,Financials,learning_code_prefix
000333.SZ,Financials,learning_code_prefix
000338.SZ,Financials,learning_code_prefix
000415.SZ,Financials,learning_code_prefix
000423.SZ,Financials,learning_code_prefix
000425.SZ,Financials,learning_code_prefix
000538.SZ,Financials,learning_code_prefix
000568.SZ,Financials,learning_code_prefix
000596.SZ,Financials,learning_code_prefix
000625.SZ,Financials,learning_code_prefix
000629.SZ,Financials,learning_code_prefix
000630.SZ,Financials,learning_code_prefix
000651.SZ,Financials,learning_code_prefix
000656.SZ,Financials,learning_code_prefix
000661.SZ,Financials,learning_code_prefix
000703.SZ,Financials,learning_code_prefix
000709.SZ,Financials,learning_code_prefix
000723.SZ,Financials,learning_code_prefix
000725.SZ,Financials,learning_code_prefix
000728.SZ,Financials,learning_code_prefix
000768.SZ,Financials,learning_code_prefix
000776.SZ,Financials,learning_code_prefix
000783.SZ,Financials,learning_code_prefix
000786.SZ,Financials,learning_code_prefix
000858.SZ,Financials,learning_code_prefix
000876.SZ,Financials,learning_code_prefix
000895.SZ,Financials,learning_code_prefix
000898.SZ,Financials,learning_code_prefix
000938.SZ,Financials,learning_code_prefix
000963.SZ,Financials,learning_code_prefix
001979.SZ,Industrials,learning_code_prefix
002001.SZ,Real Estate,learning_code_prefix
002007.SZ,Real Estate,learning_code_prefix
002008.SZ,Real Estate,learning_code_prefix
002010.SZ,Real Estate,learning_code_prefix
002024.SZ,Real Estate,learning_code_prefix
002027.SZ,Real Estate,learning_code_prefix
002032.SZ,Real Estate,learning_code_prefix
002044.SZ,Real Estate,learning_code_prefix
002050.SZ,Real Estate,learning_code_prefix
