model,year,g1_return,g2_return,g3_return,g4_return,g5_return,g5_g1,monotonic_score
composite_equal,all,-0.001621112964208138,0.0024983533673642025,0.003663200742921843,0.008184785396411494,0.0033556253061677306,0.004976738270375869,0.75
composite_equal_size_neutral,all,0.000210199620699152,0.00012136796846167597,0.006087919293780791,0.004823188541856488,0.00462288541027165,0.004412685789572498,0.25
composite_equal_industry_size_neutral,all,-0.00031977248699818767,0.0013275776102610836,0.004099746404458395,0.0047594787186123625,0.006069023165436444,0.0063887956524346316,1.0
composite_equal_neutral,all,0.000210199620699152,0.00012136796846167597,0.006087919293780791,0.004823188541856488,0.00462288541027165,0.004412685789572498,0.25
composite_ic_weight,all,-0.0033176575065603712,0.0035465520791739596,0.0068002493964031815,0.005741607537670817,0.003535619144970724,0.006853276651531095,0.5
composite_ic_weight_size_neutral,all,-0.0038926146864684927,0.0028765026234676074,0.0028589395670664177,0.008496606227392805,0.006007153909619626,0.009899768596088118,0.5
composite_ic_weight_industry_size_neutral,all,-0.0033888997413143414,0.0013021919144382665,0.004584855755841946,0.007325176704902163,0.006473266875833557,0.009862166617147897,0.75
composite_ic_weight_neutral,all,-0.0038926146864684927,0.0028765026234676074,0.0028589395670664177,0.008496606227392805,0.006007153909619626,0.009899768596088118,0.5
composite_pca,all,0.002465788528774527,0.006666989125649257,0.0034851868758123527,0.0032962970712715578,-0.00013810848337552435,-0.0026038970121500518,0.25
composite_pca_size_neutral,all,0.0022080847841001753,0.001368208795650034,0.0009868580421673006,0.005980620951331148,0.005242356721033934,0.0030342719369337587,0.25
composite_pca_industry_size_neutral,all,0.0009878099673541242,0.0029808599776988943,0.00023045218757657756,0.005322362040260915,0.006339398368300279,0.005351588400946155,0.75
composite_pca_neutral,all,0.0022080847841001753,0.001368208795650034,0.0009868580421673006,0.005980620951331148,0.005242356721033934,0.0030342719369337587,0.25
composite_rolling_ic_weight,all,-0.002418823197001702,-0.004543662750607599,0.005419149278923456,0.00930044851681967,0.00836113064321096,0.010779953840212662,0.5
composite_rolling_ic_weight_size_neutral,all,0.0005583033023398186,-0.0014608053353181083,0.002957091802513049,0.00831279610052444,0.0054728706059830184,0.0049145673036432,0.5
composite_rolling_ic_weight_industry_size_neutral,all,-0.00011908116684059632,-0.001574290117994795,0.0025441054091489596,0.007559230256551952,0.007483948802224913,0.007603029969065509,0.5
