trade_date,window,factor,weight
2020-01-02,120,factor_momentum,0.2
2020-01-03,120,factor_momentum,0.2
2020-01-06,120,factor_momentum,0.2
2020-01-07,120,factor_momentum,0.2
2020-01-08,120,factor_momentum,0.2
2020-01-09,120,factor_momentum,0.2
2020-01-10,120,factor_momentum,0.2
2020-01-13,120,factor_momentum,0.2
2020-01-14,120,factor_momentum,0.2
2020-01-15,120,factor_momentum,0.2
2020-01-16,120,factor_momentum,0.2
2020-01-17,120,factor_momentum,0.2
2020-01-20,120,factor_momentum,0.2
2020-01-21,120,factor_momentum,0.2
2020-01-22,120,factor_momentum,0.2
2020-01-23,120,factor_momentum,0.2
2020-02-03,120,factor_momentum,0.2
2020-02-04,120,factor_momentum,0.2
2020-02-05,120,factor_momentum,0.2
2020-02-06,120,factor_momentum,0.2
2020-02-07,120,factor_momentum,0.2
2020-02-10,120,factor_momentum,0.2
2020-02-11,120,factor_momentum,0.2
2020-02-12,120,factor_momentum,0.2
2020-02-13,120,factor_momentum,0.2
2020-02-14,120,factor_momentum,0.2
2020-02-17,120,factor_momentum,0.2
2020-02-18,120,factor_momentum,0.2
2020-02-19,120,factor_momentum,0.2
2020-02-20,120,factor_momentum,0.2
2020-02-21,120,factor_momentum,0.2
2020-02-24,120,factor_momentum,0.2
2020-02-25,120,factor_momentum,0.2
2020-02-26,120,factor_momentum,0.2
2020-02-27,120,factor_momentum,0.2
2020-02-28,120,factor_momentum,0.2
2020-03-02,120,factor_momentum,0.2
2020-03-03,120,factor_momentum,0.2
2020-03-04,120,factor_momentum,0.2
2020-03-05,120,factor_momentum,0.2
2020-03-06,120,factor_momentum,0.2
2020-03-09,120,factor_momentum,0.2
2020-03-10,120,factor_momentum,0.2
2020-03-11,120,factor_momentum,0.2
2020-03-12,120,factor_momentum,0.2
2020-03-13,120,factor_momentum,0.2
2020-03-16,120,factor_momentum,0.2
2020-03-17,120,factor_momentum,0.2
2020-03-18,120,factor_momentum,0.2
2020-03-19,120,factor_momentum,0.2
2020-03-20,120,factor_momentum,0.2
2020-03-23,120,factor_momentum,0.2
2020-03-24,120,factor_momentum,0.2
2020-03-25,120,factor_momentum,0.2
2020-03-26,120,factor_momentum,0.2
2020-03-27,120,factor_momentum,0.2
2020-03-30,120,factor_momentum,0.2
2020-03-31,120,factor_momentum,0.2
2020-04-01,120,factor_momentum,0.2
2020-04-02,120,factor_momentum,0.2
2020-04-03,120,factor_momentum,0.2
2020-04-07,120,factor_momentum,0.2
2020-04-08,120,factor_momentum,0.2
2020-04-09,120,factor_momentum,0.2
2020-04-10,120,factor_momentum,0.2
2020-04-13,120,factor_momentum,0.2
2020-04-14,120,factor_momentum,0.2
2020-04-15,120,factor_momentum,0.2
2020-04-16,120,factor_momentum,0.2
2020-04-17,120,factor_momentum,0.2
2020-04-20,120,factor_momentum,0.2
2020-04-21,120,factor_momentum,0.2
2020-04-22,120,factor_momentum,0.2
2020-04-23,120,factor_momentum,0.2
2020-04-24,120,factor_momentum,0.2
2020-04-27,120,factor_momentum,0.2
2020-04-28,120,factor_momentum,0.2
2020-04-29,120,factor_momentum,0.2
2020-04-30,120,factor_momentum,0.2
2020-05-06,120,factor_momentum,0.2
2020-05-07,120,factor_momentum,1.0
2020-05-08,120,factor_momentum,1.0
2020-05-11,120,factor_momentum,1.0
2020-05-12,120,factor_momentum,1.0
2020-05-13,120,factor_momentum,1.0
2020-05-14,120,factor_momentum,1.0
2020-05-15,120,factor_momentum,1.0
2020-05-18,120,factor_momentum,1.0
2020-05-19,120,factor_momentum,1.0
2020-05-20,120,factor_momentum,1.0
2020-05-21,120,factor_momentum,1.0
2020-05-22,120,factor_momentum,1.0
2020-05-25,120,factor_momentum,1.0
2020-05-26,120,factor_momentum,1.0
2020-05-27,120,factor_momentum,1.0
2020-05-28,120,factor_momentum,1.0
2020-05-29,120,factor_momentum,1.0
2020-06-01,120,factor_momentum,1.0
2020-06-02,120,factor_momentum,1.0
