ts_code,selected_count,max_consecutive_rebalances,avg_consecutive_rebalances
000166.SZ,45,22,11.25
000709.SZ,45,16,15.0
002032.SZ,43,21,10.75
000898.SZ,39,14,5.571428571428571
000783.SZ,39,29,7.8
000001.SZ,38,14,4.222222222222222
002024.SZ,38,10,4.222222222222222
000333.SZ,37,14,4.625
000703.SZ,34,13,4.857142857142857
000415.SZ,34,5,3.090909090909091
000069.SZ,34,10,4.857142857142857
000538.SZ,33,11,4.714285714285714
002010.SZ,31,6,3.4444444444444446
000157.SZ,30,13,3.0
000895.SZ,29,18,4.142857142857143
000651.SZ,28,11,4.666666666666667
000728.SZ,24,15,4.0
002001.SZ,24,7,3.0
000002.SZ,23,19,5.75
000776.SZ,22,8,2.75
000876.SZ,22,7,2.75
000425.SZ,22,14,3.6666666666666665
000596.SZ,21,5,1.6153846153846154
000858.SZ,19,13,4.75
000786.SZ,19,4,2.111111111111111
000423.SZ,18,7,2.0
000629.SZ,18,4,1.8
000630.SZ,15,8,2.5
000656.SZ,15,11,3.0
000768.SZ,14,5,1.5555555555555556
000938.SZ,14,5,2.8
000725.SZ,13,5,1.625
000568.SZ,13,3,1.625
002007.SZ,12,3,1.5
002050.SZ,12,4,1.7142857142857142
000063.SZ,11,4,1.5714285714285714
000963.SZ,10,1,1.0
000338.SZ,10,3,1.6666666666666667
002044.SZ,10,3,1.6666666666666667
000100.SZ,7,2,1.1666666666666667
000723.SZ,6,3,1.5
002027.SZ,5,3,1.6666666666666667
000625.SZ,3,1,1.0
002008.SZ,1,1,1.0
