trade_date,rebalance_index,ts_code,rank,weight,signal
2020-01-02,0,000001.SZ,1,0.05,0.0
2020-01-02,0,000002.SZ,2,0.05,0.0
2020-01-02,0,000063.SZ,3,0.05,0.0
2020-01-02,0,000069.SZ,4,0.05,0.0
2020-01-02,0,000100.SZ,5,0.05,0.0
2020-01-02,0,000157.SZ,6,0.05,0.0
2020-01-02,0,000166.SZ,7,0.05,0.0
2020-01-02,0,000333.SZ,8,0.05,0.0
2020-01-02,0,000338.SZ,9,0.05,0.0
2020-01-02,0,000415.SZ,10,0.05,0.0
2020-01-02,0,000423.SZ,11,0.05,0.0
2020-01-02,0,000425.SZ,12,0.05,0.0
2020-01-02,0,000538.SZ,13,0.05,0.0
2020-01-02,0,000568.SZ,14,0.05,0.0
2020-01-02,0,000596.SZ,15,0.05,0.0
2020-01-02,0,000625.SZ,16,0.05,0.0
2020-01-02,0,000629.SZ,17,0.05,0.0
2020-01-02,0,000630.SZ,18,0.05,0.0
2020-01-02,0,000651.SZ,19,0.05,0.0
2020-01-02,0,000656.SZ,20,0.05,0.0
2020-02-07,1,000166.SZ,1,0.05,1.1671775339080634
2020-02-07,1,000333.SZ,2,0.05,1.0838926550117602
2020-02-07,1,000651.SZ,3,0.05,1.0186357734028193
2020-02-07,1,000002.SZ,4,0.05,0.9569620804289054
2020-02-07,1,000709.SZ,5,0.05,0.9430025459955892
2020-02-07,1,000001.SZ,6,0.05,0.9226306989138652
2020-02-07,1,000898.SZ,7,0.05,0.8833054777874823
2020-02-07,1,002024.SZ,8,0.05,0.8518890124202114
2020-02-07,1,002032.SZ,9,0.05,0.8485541101937248
2020-02-07,1,002044.SZ,10,0.05,0.760794483154571
2020-02-07,1,000630.SZ,11,0.05,0.7057310339839493
2020-02-07,1,000858.SZ,12,0.05,0.6967645644997337
2020-02-07,1,000538.SZ,13,0.05,0.6196486688409336
2020-02-07,1,000069.SZ,14,0.05,0.5642414370227037
2020-02-07,1,000728.SZ,15,0.05,0.5555254718381035
2020-02-07,1,000776.SZ,16,0.05,0.5326150573726182
2020-02-07,1,000786.SZ,17,0.05,0.5284492098738397
2020-02-07,1,000415.SZ,18,0.05,0.4657503145498449
2020-02-07,1,000629.SZ,19,0.05,0.4583348479660908
2020-02-07,1,000768.SZ,20,0.05,0.4551324626702016
2020-03-06,2,000333.SZ,1,0.05,1.0858117417339548
2020-03-06,2,000538.SZ,2,0.05,0.9975953488026108
2020-03-06,2,000709.SZ,3,0.05,0.9376116870049974
2020-03-06,2,000001.SZ,4,0.05,0.9310368040069288
2020-03-06,2,000423.SZ,5,0.05,0.9029441516365831
2020-03-06,2,000898.SZ,6,0.05,0.8967937627209236
2020-03-06,2,000651.SZ,7,0.05,0.8863403183112322
2020-03-06,2,002032.SZ,8,0.05,0.8789837083661711
2020-03-06,2,000166.SZ,9,0.05,0.8558700929792726
2020-03-06,2,000703.SZ,10,0.05,0.8443117648141154
2020-03-06,2,000858.SZ,11,0.05,0.8186788125602585
2020-03-06,2,000069.SZ,12,0.05,0.8133227290330081
2020-03-06,2,000630.SZ,13,0.05,0.8100981040706421
2020-03-06,2,002024.SZ,14,0.05,0.7661793139340705
2020-03-06,2,000963.SZ,15,0.05,0.6422722071637117
2020-03-06,2,002044.SZ,16,0.05,0.6282549897899554
2020-03-06,2,000002.SZ,17,0.05,0.5875047046083132
2020-03-06,2,000157.SZ,18,0.05,0.4707958190504839
2020-03-06,2,000568.SZ,19,0.05,0.3773231083485605
2020-03-06,2,000776.SZ,20,0.05,0.3205916911424868
2020-04-03,3,000333.SZ,1,0.05,1.3104301427146527
2020-04-03,3,002024.SZ,2,0.05,1.2417732137317443
2020-04-03,3,000166.SZ,3,0.05,1.1967535081001843
2020-04-03,3,000001.SZ,4,0.05,1.0028041701341686
2020-04-03,3,000651.SZ,5,0.05,0.979718131674044
2020-04-03,3,000630.SZ,6,0.05,0.9429490166242492
2020-04-03,3,000709.SZ,7,0.05,0.9393569084442858
2020-04-03,3,000776.SZ,8,0.05,0.9188561375550676
2020-04-03,3,000898.SZ,9,0.05,0.8106986551595075
2020-04-03,3,000002.SZ,10,0.05,0.6254522117597034
2020-04-03,3,000858.SZ,11,0.05,0.6056136426773114
2020-04-03,3,000629.SZ,12,0.05,0.4868886816041946
2020-04-03,3,002010.SZ,13,0.05,0.4733769668702175
2020-04-03,3,002032.SZ,14,0.05,0.4694898063060194
2020-04-03,3,000538.SZ,15,0.05,0.4046300623207063
2020-04-03,3,000415.SZ,16,0.05,0.3210685065184965
2020-04-03,3,000157.SZ,17,0.05,0.3046174311585227
2020-04-03,3,000703.SZ,18,0.05,0.2800986152225078
2020-04-03,3,002044.SZ,19,0.05,0.2592138755872022
2020-04-03,3,000568.SZ,20,0.05,0.2377315442862294
2020-05-07,4,002024.SZ,1,0.05,1.3093661570040864
2020-05-07,4,000333.SZ,2,0.05,1.241974988894382
2020-05-07,4,000166.SZ,3,0.05,1.234495016488877
2020-05-07,4,002032.SZ,4,0.05,1.1590132628684402
2020-05-07,4,000898.SZ,5,0.05,1.1039893718738316
2020-05-07,4,002010.SZ,6,0.05,1.0549722172770395
2020-05-07,4,000776.SZ,7,0.05,0.9913887759212692
2020-05-07,4,000630.SZ,8,0.05,0.9442030633138254
2020-05-07,4,000709.SZ,9,0.05,0.9280967694929414
2020-05-07,4,000002.SZ,10,0.05,0.8949284106883163
