risk_model,target_vol,trigger_drawdown,reduced_exposure,signal,rebalance_days,top_n,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,benchmark_annual_return,excess_annual_return,information_ratio,avg_turnover,annual_cost,avg_exposure
vol_target,0.1,,,vol_target_15pct,20,20,0.0026255640991066365,0.11049620173304461,0.023761577845453165,-0.20203440546183982,0.012995628606448182,0.5092783505154639,0.014751314341899358,-0.012125750242792721,-0.1044771859832132,,0.0,0.6213264485189807
vol_target,0.15,,,vol_target_15pct,20,20,0.014151953331685174,0.15283654314462725,0.09259535082714716,-0.26569785585896244,0.05326333284073359,0.5092783505154639,0.014751314341899358,-0.0005993610102141833,-0.006551588056281874,,0.0,0.8532131647739385
vol_target,0.2,,,vol_target_15pct,20,20,0.019185947704348116,0.17494529645949364,0.10966826826802045,-0.299847215841596,0.06398574570885365,0.5092783505154639,0.014751314341899358,0.004434633362448759,0.056268478528704764,,0.0,0.9399546635746587
drawdown_control,,-0.1,0.3,drawdown_control,20,20,-0.017819840940199283,0.09744825413662205,-0.18286465055819204,-0.16572742726251755,-0.10752499591978873,0.5092783505154639,0.014751314341899358,-0.03257115528209864,-0.23759509478205823,,0.0,0.4125773195876288
drawdown_control,,-0.1,0.5,drawdown_control,20,20,0.018842306344684978,0.13225236488454672,0.14247235851800366,-0.20608724074965867,0.09142878654760282,0.5092783505154639,0.014751314341899358,0.004090992002785621,0.03986873862894255,,0.0,0.6278350515463917
drawdown_control,,-0.1,0.7,drawdown_control,20,20,0.022484503773094078,0.15523516596614065,0.14484156108029234,-0.2633257243426883,0.08538665878246315,0.5092783505154639,0.014751314341899358,0.00773318943119472,0.09604013639240425,,0.0,0.7804123711340205
drawdown_control,,-0.15,0.3,drawdown_control,20,20,-0.030812813217473423,0.10115546117480202,-0.3046084992309732,-0.207414525877901,-0.1485566793697566,0.5092783505154639,0.014751314341899358,-0.04556412755937278,-0.3356409537701561,,0.0,0.431340206185567
drawdown_control,,-0.15,0.5,drawdown_control,20,20,0.009154976531893011,0.1345393695997163,0.06804682197583536,-0.23475231580680167,0.03899845034724789,0.5092783505154639,0.014751314341899358,-0.0055963378100063466,-0.05499985135251672,,0.0,0.6412371134020619
drawdown_control,,-0.15,0.7,drawdown_control,20,20,0.022917889441609773,0.15572857522628086,0.147165601485206,-0.2621231090096101,0.08743177787033475,0.5092783505154639,0.014751314341899358,0.008166575099710416,0.1014367981230636,,0.0,0.7850515463917526
drawdown_control,,-0.2,0.3,drawdown_control,20,20,0.024636392765114312,0.15760345145669796,0.15631886571902417,-0.2424872823731068,0.10159870045146181,0.5092783505154639,0.014751314341899358,0.009885078423214955,0.09203813024362974,,0.0,0.6803092783505155
drawdown_control,,-0.2,0.5,drawdown_control,20,20,0.029939875295684537,0.16440989447093077,0.18210506972241985,-0.25983369194277994,0.11522707110007056,0.5092783505154639,0.014751314341899358,0.01518856095378518,0.1681383097849758,,0.0,0.7716494845360825
drawdown_control,,-0.2,0.7,drawdown_control,20,20,0.03470152086954914,0.17412335728972578,0.19929273941007752,-0.2771632341655179,0.12520246768669863,0.5092783505154639,0.014751314341899358,0.019950206527649783,0.2601073121649541,,0.0,0.8629896907216494
