trade_date,ts_code,action,old_weight,new_weight,weight_change,price,cost
2020-01-02,000001.SZ,buy,0.0,0.05,0.05,13.69,3.7500000000000003e-05
2020-01-02,000002.SZ,buy,0.0,0.05,0.05,26.59,3.7500000000000003e-05
2020-01-02,000063.SZ,buy,0.0,0.05,0.05,32.72,3.7500000000000003e-05
2020-01-02,000069.SZ,buy,0.0,0.05,0.05,6.95,3.7500000000000003e-05
2020-01-02,000100.SZ,buy,0.0,0.05,0.05,3.76,3.7500000000000003e-05
2020-01-02,000157.SZ,buy,0.0,0.05,0.05,5.25,3.7500000000000003e-05
2020-01-02,000166.SZ,buy,0.0,0.05,0.05,4.67,3.7500000000000003e-05
2020-01-02,000333.SZ,buy,0.0,0.05,0.05,47.8,3.7500000000000003e-05
2020-01-02,000338.SZ,buy,0.0,0.05,0.05,13.38,3.7500000000000003e-05
2020-01-02,000415.SZ,buy,0.0,0.05,0.05,3.82,3.7500000000000003e-05
2020-01-02,000423.SZ,buy,0.0,0.05,0.05,29.56,3.7500000000000003e-05
2020-01-02,000425.SZ,buy,0.0,0.05,0.05,5.02,3.7500000000000003e-05
2020-01-02,000538.SZ,buy,0.0,0.05,0.05,50.25,3.7500000000000003e-05
2020-01-02,000568.SZ,buy,0.0,0.05,0.05,72.69,3.7500000000000003e-05
2020-01-02,000596.SZ,buy,0.0,0.05,0.05,123.22,3.7500000000000003e-05
2020-01-02,000625.SZ,buy,0.0,0.05,0.05,5.42,3.7500000000000003e-05
2020-01-02,000629.SZ,buy,0.0,0.05,0.05,2.94,3.7500000000000003e-05
2020-01-02,000630.SZ,buy,0.0,0.05,0.05,2.06,3.7500000000000003e-05
2020-01-02,000651.SZ,buy,0.0,0.05,0.05,45.96,3.7500000000000003e-05
2020-01-02,000656.SZ,buy,0.0,0.05,0.05,6.86,3.7500000000000003e-05
2020-02-07,000063.SZ,sell,0.05,0.0,-0.05,35.93,3.7500000000000003e-05
2020-02-07,000100.SZ,sell,0.05,0.0,-0.05,4.68,3.7500000000000003e-05
2020-02-07,000157.SZ,sell,0.05,0.0,-0.05,4.56,3.7500000000000003e-05
2020-02-07,000338.SZ,sell,0.05,0.0,-0.05,11.04,3.7500000000000003e-05
2020-02-07,000423.SZ,sell,0.05,0.0,-0.05,26.9,3.7500000000000003e-05
2020-02-07,000425.SZ,sell,0.05,0.0,-0.05,4.11,3.7500000000000003e-05
2020-02-07,000568.SZ,sell,0.05,0.0,-0.05,63.6,3.7500000000000003e-05
2020-02-07,000596.SZ,sell,0.05,0.0,-0.05,109.82,3.7500000000000003e-05
2020-02-07,000625.SZ,sell,0.05,0.0,-0.05,4.53,3.7500000000000003e-05
2020-02-07,000656.SZ,sell,0.05,0.0,-0.05,6.07,3.7500000000000003e-05
2020-02-07,000709.SZ,buy,0.0,0.05,0.05,1.94,3.7500000000000003e-05
2020-02-07,000728.SZ,buy,0.0,0.05,0.05,6.07,3.7500000000000003e-05
2020-02-07,000768.SZ,buy,0.0,0.05,0.05,15.3,3.7500000000000003e-05
2020-02-07,000776.SZ,buy,0.0,0.05,0.05,11.95,3.7500000000000003e-05
2020-02-07,000786.SZ,buy,0.0,0.05,0.05,21.21,3.7500000000000003e-05
2020-02-07,000858.SZ,buy,0.0,0.05,0.05,102.13,3.7500000000000003e-05
2020-02-07,000898.SZ,buy,0.0,0.05,0.05,2.49,3.7500000000000003e-05
2020-02-07,002024.SZ,buy,0.0,0.05,0.05,9.6,3.7500000000000003e-05
2020-02-07,002032.SZ,buy,0.0,0.05,0.05,50.63,3.7500000000000003e-05
2020-02-07,002044.SZ,buy,0.0,0.05,0.05,14.33,3.7500000000000003e-05
2020-03-06,000157.SZ,buy,0.0,0.05,0.05,4.99,3.7500000000000003e-05
